title,artist,year,type,latitude,longitude
Pay Attention,Bob Rivera,2003,Mural/Public Art,39.967515,-75.150000
Peace Fountain,,1865,Mural/Public Art,39.965380,-75.183075
Peace Memorial,Harold Kimmelman,1974,Mural/Public Art,40.005450,-75.076250
Peace Symbol,Robert Engman,1967,Mural/Public Art,39.952600,-75.194175
Pefelice,William E. Lowenberg,1990,Mural/Public Art,40.026050,-75.225425
Pegasus,Vincenz Bildhauer Pilz,1863,Mural/Public Art,39.978935,-75.209500
Penn Society Obelisk,,1827,Mural/Public Art,39.966700,-75.128150
Pennsylvania National Guard Monument,,1997,Mural/Public Art,39.941850,-75.141325
People Pyramid,Evelyn Keyser,1971,Mural/Public Art,39.966075,-75.168750
Phaedrus,Beverly Pepper,1976,Mural/Public Art,39.953740,-75.149900
Philadelphia and the Schuylkill River,Steve Sears of Sears IronWorks (Fabricator),1994,Mural/Public Art,39.965325,-75.183450
Philadelphia Beirut Memorial,Doug Corsini,1985,Mural/Public Art,39.944885,-75.142660
Philadelphia Firsts,George Greenamyer,1998,Mural/Public Art,39.954900,-75.166100
Philadelphia Korean War Memorial,Jirair Youssefian,2002,Mural/Public Art,39.944910,-75.143450
Philadelphia Maneto,,1905,Mural/Public Art,39.940650,-75.155100
Phoenix Rising,Emlen Etting,1982,Mural/Public Art,39.945325,-75.144000
Phoenix Rising in Flames,Natalie Charkow Hollander,1976,Mural/Public Art,39.960560,-75.143025
Phoenixtree,Christopher T. Ray,1975,Mural/Public Art,39.958550,-75.199000
The Pilgrim,Augustus Saint-Gaudens,1904,Mural/Public Art,39.970100,-75.188660
Pillar,Leon Sitarchuk,1978,Mural/Public Art,39.942625,-75.154555
Pillar,Leon Sitarchuk,1978,Mural/Public Art,40.082990,-75.219805
Pinky,Frederick Prescott,2021,Mural/Public Art,40.023380,-75.219995
Plateau,Andrea Blum,2018,Mural/Public Art,39.952725,-75.202725
Play at Second Base,Joe Brown,1976,Mural/Public Art,39.905200,-75.170300
Playing Angels,Carl Milles,1950,Mural/Public Art,39.980225,-75.198840
The Ploughman,J. Wallace Kelly,1938,Mural/Public Art,39.973425,-75.190700
The Poet,Jose de Creeft,1954,Mural/Public Art,39.974350,-75.191425
The Point Where Things Change,Michael Grothusen,2001,Mural/Public Art,39.896650,-75.233150
Pope John Paul II,,1980,Mural/Public Art,39.958100,-75.170100
The Porch Swings,Bill Curran Design,2015,Mural/Public Art,39.954850,-75.182050
Port Richmond Firefighters Memorial,,2005,Mural/Public Art,39.988925,-75.099950
The Preacher,Waldemar Raemisch,1952,Mural/Public Art,39.974675,-75.191625
Pretzel,Warren C. Holzman,2004,Mural/Public Art,40.025650,-75.221325
The Prophet,Jacob Lipkin,1974,Mural/Public Art,39.955225,-75.166575
Puma,Eric Berg,1983,Mural/Public Art,39.963625,-75.187800
Puma,William Zorach,1954,Mural/Public Art,39.967750,-75.182950
Punter,Joe Brown,1976,Mural/Public Art,39.907575,-75.171500
The Puritan,Harry Rosin,1942,Mural/Public Art,39.972375,-75.190360
Pyramid,Ernest Shaw,1975,Mural/Public Art,39.949235,-75.195475
Pyramid (Philadelphia),Sol LeWitt,2010,Mural/Public Art,39.967150,-75.182350
Pyramid Lights,,2008,Mural/Public Art,39.955000,-75.187100
The Quaker,Harry Rosin,1942,Mural/Public Art,39.972525,-75.190360
Quiet Vigil,Bernard Brenner,1979,Mural/Public Art,40.064155,-75.238245
Ram Country,James Marsico,2007,Mural/Public Art,40.022950,-75.194125
Raven,David Caccia,1979,Mural/Public Art,39.961975,-75.149900
Re:flection,Jefre,2010,Mural/Public Art,39.959700,-75.196800
Rebecca at the Well,John J. Boyle,1908,Mural/Public Art,39.983625,-75.208700
Red Owl,Beniamino Bufano,1988,Mural/Public Art,39.981000,-75.155400
Religious Liberty,Moses Jacob Ezekiel,1876,Mural/Public Art,39.950350,-75.148825
Rev. Dr. John Witherspoon,Joseph Alexis Bailly,1876,Mural/Public Art,39.984050,-75.208900
"Rev. Dr. Martin Luther King, Jr. Memorial",Rebecca Rose,2009,Mural/Public Art,39.962975,-75.202260
The Revolutionary Soldier,Erwin Frey,1942,Mural/Public Art,39.972675,-75.190450
Richard Allen,Fern Cunningham-Terry,2016,Mural/Public Art,39.943115,-75.151985
Rittenhouse Square Fountain,Paul Philippe Cret (Architect),1913,Mural/Public Art,39.949290,-75.171740
Riverwalk,Andrew Leicester,1990,Mural/Public Art,39.950125,-75.140500
Robert Morris,Paul Wayland Bartlett,1925,Mural/Public Art,39.947700,-75.148600
Robin Roberts,Zenos Frudakis,2004,Mural/Public Art,39.904900,-75.165850
Rock Chair,Scott Burton,1981,Mural/Public Art,39.967175,-75.181450
Rock Form (Porthcurno),Barbara Hepworth,1964,Mural/Public Art,39.955800,-75.167400
Rocky,A. Thomas Schomberg,1980,Mural/Public Art,39.965125,-75.179300
Rodin Museum Fountain,Paul Philippe Cret (Architect),1929,Mural/Public Art,39.961750,-75.174150
Running Free,Henry Mitchell,1971,Mural/Public Art,39.956450,-75.190025
Rustic Pavilion,,2007,Mural/Public Art,39.965550,-75.182975
Sagg Main Street,Kenneth Snelson,1966,Mural/Public Art,,
Saint Fiacre,Henry Mitchell,,Mural/Public Art,39.949950,-75.151650
Saint Francis of Assisi,,,Mural/Public Art,39.957310,-75.155325
Saint Francis of Assisi,,,Mural/Public Art,39.956250,-75.173125
Saint Hedwig,,,Mural/Public Art,39.965710,-75.177200
Saint Hubert,,,Mural/Public Art,40.030840,-75.034300
Saint Vincent de Paul,,,Mural/Public Art,40.038200,-75.174390
Samuel D. Gross,Alexander Stirling Calder,1897,Mural/Public Art,39.948060,-75.158275
Satterlee General Hospital Marker,,1915,Mural/Public Art,39.949300,-75.210330
Schiller,Heinrich Manger,1885,Mural/Public Art,39.982750,-75.211800
Schuylkill Banks Boardwalk Signs,,2014,Mural/Public Art,39.948100,-75.184675
The Scientist,Khoren Der Harootian,1955,Mural/Public Art,39.974610,-75.191475
Score!,Gil Whitman,1976,Mural/Public Art,39.903800,-75.169900
Scottish Memorial,Terry Jones,2011,Mural/Public Art,39.944475,-75.143550
The Sculptural Installation for the 40th Street Corridor,Sandra Webberking,2013,Mural/Public Art,39.959075,-75.201855
September 11 Memorial Labyrinth,,2006,Mural/Public Art,40.017900,-75.193400
"September 11, 2001 Memorial",Sikora Wells Appel,2012,Mural/Public Art,39.952750,-75.180350
Settling of the Seaboard,Wheeler Williams,1942,Mural/Public Art,39.972440,-75.190360
Shakespeare Memorial,Alexander Stirling Calder,1926,Mural/Public Art,39.958750,-75.171200
Shofuso Japanese Lanterns,,,Mural/Public Art,39.981200,-75.212800
Shongun XXII,Ernest Shaw,1978,Mural/Public Art,39.952175,-75.203150
The Sign Boy,Tom Miles,1994,Mural/Public Art,39.951485,-75.162725
The Signer,EvAngelos W. Frudakis,1980,Mural/Public Art,39.948825,-75.149000
Silenus and the Infant Bacchus,Praxiteles,1885,Mural/Public Art,39.968730,-75.182725
The Singing Fountain,,2004,Mural/Public Art,39.929900,-75.163210
Six in a Series of Tubular Forms,Paul Sisko,1979,Mural/Public Art,39.981465,-75.153000
The Slave,Helene Sardeau,1940,Mural/Public Art,39.973775,-75.191060
Smith Memorial Arch,Herbert Adams,1897,Mural/Public Art,39.977450,-75.206500
Social Consciousness,Jacob Epstein,1954,Mural/Public Art,39.952600,-75.194475
Spanning the Continent,Robert Laurent,1937,Mural/Public Art,39.973275,-75.190700
Spectral Grove,Softlab,2019,Mural/Public Art,39.956560,-75.195915
Spheres,,300,Mural/Public Art,,
Spirit of '61,Henry Kirke Bush-Brown,1911,Mural/Public Art,39.949800,-75.164400
The Spirit of Enterprise,Jacques Lipchitz,1958,Mural/Public Art,39.973600,-75.190875
The Spirit of Girard,Bruno Lucchesi,2000,Mural/Public Art,39.973400,-75.170225
Split Button,Claes Oldenburg,1981,Mural/Public Art,39.952210,-75.193700
Spring & Triangle,Dina Wind,2016,Mural/Public Art,40.082700,-75.220150
St. Elizabeth Catholic Church Crucifixion,,1993,Mural/Public Art,39.956950,-75.167700
St. George and the Dragon,Elkington and Company,1877,Mural/Public Art,39.983050,-75.205900
St. John Baptist de La Salle,,1956,Mural/Public Art,40.039040,-75.153290
St. Joseph the Worker,Maurice Lowe,1967,Mural/Public Art,39.995600,-75.238125
St. Rita of Cascia Statue,,1970,Mural/Public Art,39.936100,-75.167400
Stack of Books With People,,,Mural/Public Art,40.022550,-75.192750
The Statesman,Erwin Frey,1942,Mural/Public Art,39.972800,-75.190490
Station no. 6 - Celebration of Water,Ellen Fletcher,1989,Mural/Public Art,39.964950,-75.183300
Steel Woman II,Thomas Schutte,1999,Mural/Public Art,39.967150,-75.181425
Stele of S'akya-muni,,,Mural/Public Art,,
Stephen Girard,John Massey Rhind,1897,Mural/Public Art,39.966350,-75.182350
Stephen Girard,Alfred Seebode,1990,Mural/Public Art,39.920540,-75.18315
Steps (Philadelphia),Sol LeWitt,2010,Mural/Public Art,39.967100,-75.182300
Steve Carlton,Zenos Frudakis,2004,Mural/Public Art,39.906990,-75.167790
stikman (Pennsylvania and Fairmount),stikman,,Mural/Public Art,39.967340,-75.179260
Stinger,John Parker,2005,Mural/Public Art,39.961020,-75.177810
Stone Age In America,John J. Boyle,1887,Mural/Public Art,39.971975,-75.190250
Striding Man,Bernard Brenner,1976,Mural/Public Art,39.902700,-75.241025
Striving,Charles Searles,1995,Mural/Public Art,39.956890,-75.198600
The Study at University City,Shelly Bradbury,2016,Mural/Public Art,39.954510,-75.189820
Subject/Object Memory,Lauren Ewing,1990,Mural/Public Art,39.899475,-75.239700
The Summer Winter Community Garden Arch,,,Mural/Public Art,39.959000,-75.189000
Summer Winter Community Garden Mosaic,,,Mural/Public Art,39.958950,-75.189050
Sundial,Alexander Stirling Calder,1903,Mural/Public Art,39.983175,-75.212650
Swann Memorial Fountain,Alexander Stirling Calder,1924,Mural/Public Art,39.957900,-75.170600
Symbiosis,Roxy Paine,2011,Mural/Public Art,39.965400,-75.178100
Tabernacle United Church Signs,Lynn Denton,1999,Mural/Public Art,39.954800,-75.196650
The Tableau,,1986,Mural/Public Art,39.951300,-75.161300
Tackle,Joe Brown,1976,Mural/Public Art,39.905440,-75.172125
Taller Puertorriqueno Community Garden,,,Mural/Public Art,39.992660,-75.140000
Tamanend,Raymond Sandoval,1994,Mural/Public Art,39.949735,-75.142000
Tedyuscung,John Massey Rhind,1902,Mural/Public Art,40.068234,-75.220326
Tezzi-Reitz Veterans Memorial,,1955,Mural/Public Art,39.983275,-75.115515
The Thinker,Auguste Rodin,1904,Mural/Public Art,39.961510,-75.174535
Thirteen into One,Harold Kimmelman,1977,Mural/Public Art,39.950825,-75.146300
Thomas Fitzsimons,Giuseppe Donato,1946,Mural/Public Art,39.958000,-75.169290
Thomas Jefferson,Lloyd Lillie,1975,Mural/Public Art,39.947380,-75.158400
Thomas Jefferson University,Tobi Kahn,2022,Mural/Public Art,40.021005,-75.192460
Thorfinn Karlsefni,Einar Jonsson,1918,Mural/Public Art,39.970190,-75.190050
"Three Disks, One Lacking",Alexander Calder,1968,Mural/Public Art,39.955740,-75.167225
The Three Shades,Auguste Rodin,1886,Mural/Public Art,39.962050,-75.174150
Three Way Piece Number 1: Points,Henry Moore,1964,Mural/Public Art,39.955540,-75.166850
Tierra,Sidney Goodman,1990,Mural/Public Art,40.082550,-75.219700
Tiger at Bay,Albino Manca,1965,Mural/Public Art,39.968425,-75.182165
Toleration,Herman Kirn,1883,Mural/Public Art,40.035335,-75.199700
Tom Foglietta,Zenos Frudakis,2000,Mural/Public Art,39.947250,-75.152000
Transportation,Charles Parks,1969,Mural/Public Art,39.915675,-75.223425
Triad,Ephraim Peleg,1981,Mural/Public Art,39.983500,-75.156200
Tribute to Nursing,Cathy Hopkins,1989,Mural/Public Art,39.958740,-75.199000
Tribute Trees Tablet,Paul Philippe Cret (Architect),1924,Mural/Public Art,39.957640,-75.170185
The Triune,Robert Engman,1974,Mural/Public Art,39.951800,-75.165325
Tuning Fork,Raymond Granville Barger,1984,Mural/Public Art,39.982775,-75.222750
Two Athletes,Joe Brown,1969,Mural/Public Art,39.980800,-75.157650
Two Hands,"Joseph J. Greenberg, Jr.",1973,Mural/Public Art,39.959075,-75.201275
Two-Part Chair,Scott Burton,1986,Mural/Public Art,39.967190,-75.181410
Unidentified,,,Mural/Public Art,39.961125,-75.152675
Unidentifed,,,Mural/Public Art,39.956200,-75.140350
Unidentified,,1974,Mural/Public Art,39.943725,-75.159700
Unity,Richard Lieberman,1969,Mural/Public Art,39.946025,-75.147500
University Museum Fountain 2,Laurie Olin,2002,Mural/Public Art,39.949360,-75.190890
Untitled,Jon Bogle,1974,Mural/Public Art,40.01930,-75.155560
Untitled,Fred Fisher,1980,Mural/Public Art,39.958260,-75.144100
Untitled,Dennis Koronan,1990,Mural/Public Art,39.907400,-75.234004
Untitled,Sam Maitin,2017,Mural/Public Art,40.083050,-75.220600
Untitled,Robert Ranieri,1972,Mural/Public Art,,
Urns,Paul Philippe Cret (Architect),1966,Mural/Public Art,39.950105,-75.171285
USMC Quartermaster Depot Lamps,Rankin and Kellog (Architects),1908,Mural/Public Art,39.937500,-75.167050
Venus and Mars,Robert Ranieri,1975,Mural/Public Art,,
Veterans Memorial,,2005,Mural/Public Art,39.905400,-75.171900
Veterans Stadium Liberty Bell,Cima Network,2019,Mural/Public Art,39.904910,-75.167950
Walk Together Forever,statues.com,2013,Mural/Public Art,39.904600,-75.169100
Walt Whitman,Leonard Baskin,1981,Mural/Public Art,39.914700,-75.156260
Walt Whitman,Jo Davidson,1939,Mural/Public Art,39.911460,-75.173325
War Memorial Flagpole,Charles Rudy,1951,Mural/Public Art,39.951375,-75.190180
Washington Grays Monument,John A. Wilson,1908,Mural/Public Art,39.950060,-75.164350
The Washington Monument,Rudolf Siemering,1897,Mural/Public Art,39.964250,-75.179150
Washington Square Prisoners of War Memorial,,1900,Mural/Public Art,39.947400,-75.151550
Water Nymph and Bittern,William Rush,1809,Mural/Public Art,39.965415,-75.183220
Water Works Fountain,,2006,Mural/Public Art,39.965415,-75.183220
We Here,Roberto Lugo,2024,Mural/Public Art,39.997625,-75.111920
We Lost,Tony Smith,1966,Mural/Public Art,39.952625,-75.188900
Weaver's Knot: Sheet Bend,Ball-Nogues Studio,2022,Mural/Public Art,39.953050,-75.139750
The Wedges,Robert Morris,1970,Mural/Public Art,39.970075,-75.184175
Welcome,EvAngelos W. Frudakis,1988,Mural/Public Art,39.949750,-75.173100
Welcome to Main Street Manayunk Sign,"Venturi, Scott Brown (and Rauch)",2002,Mural/Public Art,40.015615,-75.209110
Welcoming to Freedom,Maurice Sterne,1939,Mural/Public Art,39.973885,-75.191000
When I was Hungry and Thirsty,Timothy Schmalz,2017,Mural/Public Art,39.955750,-75.198070
The Whispering Bells of Freedom,Reginald Beauchamp,1976,Mural/Public Art,39.953125,-75.151650
White Water,Robinson Fredenthal,1978,Mural/Public Art,40.082400,-75.219950
William H. Gray III 30th Street Station Sign,Calori and Vanden-Eynden Design,2015,Mural/Public Art,39.955070,-75.18297
William McKinley,Isidore Konti,1908,Mural/Public Art,39.951750,-75.163200
William Penn,Frank C. Gaylord,1982,Mural/Public Art,39.966850,-75.128650
William Penn,John Cheere,1774,Mural/Public Art,39.944650,-75.155825
William Pepper,Karl Bitter,1896,Mural/Public Art,39.951230,-75.193825
"The Winged Ox, Symbol of St. Luke the Physician",Henry Mitchell,1976,Mural/Public Art,39.948400,-75.157850
Winged Woman,Arlene Love,1987,Mural/Public Art,39.949085,-75.173225
Word Play,David Cerulli,1986,Mural/Public Art,40.039380,-75.053150
World War II Submariners Memorial,,1996,Mural/Public Art,39.943700,-75.141300
The Wrestlers,Ferdinand Barbedienne,1885,Mural/Public Art,39.984250,-75.209950
Wynn Commons Sign,"Venturi, Scott Brown (and Rauch)",2001,Mural/Public Art,39.951090,-75.193215
The Young Gymnast,Harold Kimmelman,1979,Mural/Public Art,40.030350,-75.093325
Zoo Sign,Gecko Group,2013,Mural/Public Art,39.974975,-75.195250
