title,artist,year,type,latitude,longitude
Charles Lennig,John J. Boyle,1900,Mural/Public Art,39.951300,-75.194210
Chestnut Hill and Mt. Airy World War I Memorial,,1918,Mural/Public Art,40.067750,-75.197150
Chestnut Park Fountain,Christopher Collins,1979,Mural/Public Art,39.951900,-75.169050
Chief Justice John Marshall,William Wetmore Story,1883,Mural/Public Art,39.966200,-75.181800
Children Playing,Sarala Ruth Pinto,1969,Mural/Public Art,40.095190,-74.989775
China Gate,Sabrina Soong,1984,Mural/Public Art,39.953700,-75.156250
The City of Philadelphia,American Society of Civil Engineers,1997,Mural/Public Art,39.957550,-75.171450
City Root,Keiko Miyamori,2004,Mural/Public Art,39.959195,-75.158170
Civil War Sailors Memorial,Hermon Atkins MacNeil,1921,Mural/Public Art,39.959420,-75.172960
Civil War Soldiers and Sailors Monument,John Massey Rhind,1883,Mural/Public Art,40.034325,-75.172300
Civil War Soldiers and Sailors Monument,,1909,Mural/Public Art,39.985925,-75.215975
Civil War Soldiers Memorial,Hermon Atkins MacNeil,1921,Mural/Public Art,39.959650,-75.172650
Clark Park Urban Forest Inventory Frame,,2006,Mural/Public Art,39.949300,-75.209550
The Claw,,,Mural/Public Art,39.937510,-75.206685
Clock,,2009,Mural/Public Art,39.955600,-75.180950
Clousseau Rousseau,Patricia Ingersoll,2006,Mural/Public Art,,
Collab 1,Bernard Brenner,1975,Mural/Public Art,39.960550,-75.142350
Columbus Monument,Emanuele Caroni,1876,Mural/Public Art,39.915550,-75.172100
Columbus Monument,"Venturi, Scott Brown (and Rauch)",1992,Mural/Public Art,39.944650,-75.141500
Column and Capital,,1976,Mural/Public Art,39.951100,-75.191700
Column Court,"Lawrence D. McEwen, Architects",1997,Mural/Public Art,40.074650,-75.203700
Column Park,"McCloskey and Faber, P.C.",2013,Mural/Public Art,40.036925,-75.144300
"Commodore John Barry, USN",Samuel Murray,1908,Mural/Public Art,39.948350,-75.150100
Commodore Uriah Phillips Levy,Gregory Pototsky,2011,Mural/Public Art,39.951325,-75.148400
Connections,Athena Tacha,1992,Mural/Public Art,39.961600,-75.168900
Construction #66,Jose de Rivera,1959,Mural/Public Art,39.952940,-75.195600
Construction for Outdoors #7,Stephen Porter,1987,Mural/Public Art,39.949200,-75.195480
Consultation,"J. Seward Johnson, Jr.",,Mural/Public Art,39.958150,-75.198750
Continental Army Encampment Memorial,,1895,Mural/Public Art,40.018450,-75.183115
