title,artist,year,type,latitude,longitude
Barton and Beury Hall Walls,John Botkin,1984,Wall,39.981925,-75.154875
Bas Reliefs,Charles Wallis,1973,Walls,39.944450,-75.150400
Bath,,1500,Mural/Public Art,39.968950,-75.184300
Batter,Joe Brown,1976,Mural/Public Art,39.907350,-75.169800
Battle of Germantown Memorial,Frank Miles Day (Architect),1906,Mural/Public Art,40.036300,-75.175750
Beacon,FKB,2021,Rising through the roof,39.951085,-75.148575
The Beacons,Ray King,2000,Mural/Public Art,39.937850,-75.166800
Bear,Dexter Jones,1968,Mural/Public Art,39.978100,-75.152400
Bear,,2008,Mural/Public Art,40.074535,-75.202960
Bear Bench,,2008,Mural/Public Art,40.074375,-75.203490
Bedell Residence Entrance,Wilson Eyre (Architect),1889,Entrance,39.952310,-75.176975
"Before, Now, Tomorrow",Erica Loustau,2008,Interior,39.959800,-75.224700
Belgravia Lion Heads,,1902,Wall,39.951800,-75.170860
Bell,Toshiko Takaezu,1986,Mural/Public Art,39.966835,-75.181775
Bell Atlantic Tower Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1991,Plaza,39.956000,-75.16900
Bell Tower,Nolen and Swinburne (Architects),1965,Mural/Public Art,39.981300,-75.154350
Bellevue Lions,,1989,Gateposts,39.948750,-75.164605
Ben Franklin,George Lundeen,1987,Mural/Public Art,39.952150,-75.196975
Bench and Table (Enlarged Version/Concentric),Scott Burton,2001,Mural/Public Art,39.967100,-75.181450
Bench Form,Thomas Sternal,1990,Mural/Public Art,39.958450,-75.190400
Beneficial Savings Fund Society Building,Horace Trumbauer (Architect),1916,East wall and North entrance,39.950350,-75.160250
Benjamin Franklin,John J. Boyle,1899,Mural/Public Art,39.951950,-75.193700
Benjamin Franklin,Francesco Lazzarini,1789,Front window,39.947975,-75.163065
Benjamin Franklin,Francesco Lazzarini,1789,Pediment,39.948425,-75.149190
Benjamin Franklin in 1723,R. Tait McKenzie,1914,Mural/Public Art,39.950800,-75.191000
Benjamin Franklin in Fireman's Hat,Dexter Jones,1968,South wall,39.952425,-75.146450
Benjamin Franklin National Memorial,James Earle Fraser,1938,Interior,39.958200,-75.173000
Benjamin Franklin's Way,,2009,Mural/Public Art,39.952800,-75.196975
"Benjamin Franklin, Craftsman",Joe Brown,1981,Mural/Public Art,39.953700,-75.163550
Berg Laboratories Explosion Memorial,,2008,Sidewalk,39.952930,-75.162720
Bicentennial Bell,Holzman Iron Studio,2024,Mural/Public Art,39.947350,-75.146575
Bicentennial Dawn,Louise Nevelson,1975,Inside,39.951225,-75.150600
Bicycle Rack,Warren C. Holzman,2014,Bike rack,39.952965,-75.162865
Big Ben at Franklin Town,Alexander L. Generalis,1992,Bridge over I-676,39.958450,-75.167100
Bike Cloud,Ralph Tullie,2014,Bike rack,39.955375,-75.166425
Bike Cloud,Ralph Tullie,2014,Bike rack,39.946630,-75.164980
Bike Cloud,Ralph Tullie,2014,Bike rack,39.957705,-75.169710
Bike Racks,Dero Bike Racks,2013,Bike racks,39.970680,-75.174175
Bike Terminal,Nathaniel Ross,2014,Bike rack,39.951910,-75.159190
Bilal From Pakistan,Isaiah Zagar,2013,Wall,39.942810,-75.159865
Billy,Albert Laessle,1914,Mural/Public Art,39.949200,-75.172400
Bird,"Joseph J. Greenberg, Jr.",1980,Was in the driveway entrance,39.957700,-75.166900
Bird,Harold Kimmelman,1970,Mural/Public Art,40.026400,-75.053750
Birds,Kathleen Fruge-Brown,2014,Bike racks,39.953140,-75.165500
Birds in Flight,"Joseph J. Greenberg, Jr.",1985,Mural/Public Art,39.950175,-75.142850
Birds of Fairmount Park,Josey Stamm,2001,Wall,40.026135,-75.225665
The Birth of a Nation,Henry Kreis,1943,Mural/Public Art,39.972750,-75.190490
Bishop Matthew Simpson,Clark Mills,1896,Mural/Public Art,39.994750,-75.217825
Bishop Neumann and Southeast Catholic War Memorials,,,Mural/Public Art,39.927150,-75.162200
Black Bottom Memorial Wall,Andrea Zemel,1999,Wall art,39.957425,-75.194200
Black Forest,Robinson Fredenthal,1983,Mural/Public Art,39.951625,-75.194925
Black Rock Mesa,Glenn Zweygardt,1978,Mural/Public Art,39.979225,-75.156500
Blessed John Neumann C. SS. R.,,,Mural/Public Art,39.97000,-75.144700
Blessed Virgin Mary,Joseph Sibbel,1915,Over the South door,39.957425,-75.169010
Blockhead,Robinson Fredenthal,1990,Mural/Public Art,39.961310,-75.151960
Blossom,Joe Mooney,1994,Mural/Public Art,,
Board of Education Building,Irwin T. Catharine (Architect),1930,Building,39.958900,-75.174150
Bolt of Lightning,Isamu Noguchi,1984,Mural/Public Art,39.955450,-75.148750
The Bond,Jim West,2017,Mural/Public Art,39.953510,-75.163150
Bonwit Teller Building,Bella Abdallah,1927,Entrance,39.951430,-75.169000
Bowling Pin,,2006,Over the entrance,39.950715,-75.163290
Boy and Dog,Jim Victor,1982,Mural/Public Art,39.897900,-75.246100
Boy Scouts of America Building,Charles Zeller Klauder (Architect),1929,Whole building.,39.958850,-75.175300
Brick House,Simone Leigh,2019,Mural/Public Art,39.952500,-75.192550
Brigadier General Smedley D. Butler,,,Interior,39.952950,-75.163500
Bronze Figure,Neil Lieberman,1970,Mural/Public Art,39.947500,-75.198425
Bronze Hats,,2019,Interior,39.953075,-75.161550
Bronze Sphere,Klaus Ihlenfeld,1970,Grass plaza,39.963100,-75.149050
Brushstroke Group,Roy Lichtenstein,1996,Mural/Public Art,39.952050,-75.168900
Buckley Park Vietnam Memorial,,1973,Mural/Public Art,40.073400,-75.202650
Budd BB1 Pioneer Aircraft,Budd Company,1931,Mural/Public Art,39.958490,-75.172440
Buddha and Dragons,,2010,Mural/Public Art,39.935210,-75.150400
Bull Negative and Bull Positive,Filippo Bermani,,Mural/Public Art,40.083150,-75.219980
The Burghers of Calais,Auguste Rodin,1884,Mural/Public Art,39.961800,-75.173750
Burst of Joy,Harold Kimmelman,1977,Former Gallery Plaza/Courtyard,39.951650,-75.155250
Butterfly,Harold Kimmelman,1970,Mural/Public Art,39.943625,-75.145700
Camac Center,Isaiah Zagar,2014,Wall,39.948450,-75.161430
Canal Bridge Mosaic,,2009,Wall,40.027590,-75.228610
Caring,Ken Clark,1982,Mural/Public Art,39.943725,-75.154635
Caring Center Frogs and Tadpoles,Friday Architects/Planners,1992,Walls,39.963450,-75.187600
Carlos Carpet,Isaiah Zagar,2000,Walls,39.941085,-75.151425
Carnell Hall Gargoyles,William Harold Lee (Architect),1928,Both sides of the door,39.980425,-75.157075
Cascode,Eto Otitigbe,2024,Wall,39.954600,-75.191600
Catharine Thorn Fountain ,,1890,Mural/Public Art,39.945280,-75.179620
Catholic Total Abstinence Union Fountain,Isaac H. Hobbs and Son (Architects),1876,Mural/Public Art,39.982400,-75.219650
Cats,Henry Mitchell,1974,Courtyard,39.952300,-75.144675
Center City Map,SMP Architects,2021,North wall,39.953960,-75.166075
Center of Mass I,Ken Clark,1977,Mural/Public Art,40.030100,-75.033425
Central Library Pediments,John Donnelly Company,1927,Pediments,39.959300,-75.171100
Central Terrace Medallions,Paul Philippe Cret (Architect),1933,Mural/Public Art,39.973600,-75.190800
Chambers-Wylie Gargoyles,Rankin and Kellog (Architects),1901,Whole building,39.946150,-75.164750
Charioteer of Delphi,Nikos Kerlis,1977,Mural/Public Art,39.965400,-75.179275
Charles Allen Smith,Francis P. Moitz,1917,Mural/Public Art,39.994600,-75.118425
"Charles E. Schaeffer, D.D., S.T.D.",,1975,East inside front garden wall,39.954000,-75.145815
Charles Lennig,John J. Boyle,1900,Mural/Public Art,39.951300,-75.194210
Cherubs,,,Wall,39.941845,-75.150420
Chestnut Hill and Mt. Airy World War I Memorial,,1918,Mural/Public Art,40.067750,-75.197150
Chestnut Park Fountain,Christopher Collins,1979,Mural/Public Art,39.951900,-75.169050
Chestnut Street Bus Shelter Panel (12th),Pablo Tauler,2019,Bus shelter,39.950385,-75.160430
Chestnut Street Bus Shelter Panel (13th),Pablo Tauler,2019,Bus shelter,39.950575,-75.162030
Chestnut Street Bus Shelter Panel (15th),Pablo Tauler,2019,Bus shelter,39.951060,-75.165875
Chestnut Street Bus Shelter Panel (16th),Pablo Tauler,2019,Bus shelter,39.951255,-75.167455
Chestnut Street Bus Shelter Panel (17th),Pablo Tauler,2019,Bus shelter,39.951445,-75.168990
Chestnut Street Bus Shelter Panel (18th),Pablo Tauler,2019,Bus shelter,39.951630,-75.170475
Chestnut Street Bus Shelter Panel (Broad),Pablo Tauler,2019,Bus shelter,39.950860,-75.164330
Chestnut Street Bus Shelters,Pablo Tauler,1999,Bus shelters,39.95035,-75.160290
Chief Justice John Marshall,William Wetmore Story,1883,Mural/Public Art,39.966200,-75.181800
Children Playing,Sarala Ruth Pinto,1969,Mural/Public Art,40.095190,-74.989775
Chimeras,,,Over the entrance,39.951990,-75.172694
China Gate,Sabrina Soong,1984,Mural/Public Art,39.953700,-75.156250
Chinatown Sound Barrier,,1991,Wall,39.956725,-75.155750
Chinatown Zodiac Medallions,Andrews Lefevre Studios,2012,Sidewalks,39.957170,-75.153823
Chinese Cultural and Community Center Dragons,Yang Cho-cheng (Architect),1971,Wall,39.954235,-75.156075
Christian Association Building Basement Stair Post,"Thomas, Martin and Kirkpatrick (Architects)",1929,Original stair post,39.952407,-75.195047
Church of the Holy Child Entrance,George Ignatius Lovatt Sr. (Architect),1928,Church entrance,40.032625,-75.146375
Church of the Lord Jesus Christ of the Apostolic Faith,,1959,North and West sides,39.944100,-75.178710
Church of the Savior Entrance,Charles Marquedent Burns (Architect),1889,Entrance,39.955717,-75.198085
Church Stop Reflection,Joe Brenman,2007,Walls,40.010480,-75.089000
Cinema Verde,Dennis Haugh,2006,Wall,39.965260,-75.142100
"cirque, CIRQUE",Judy Pfaff,1993,On the ceiling,39.952800,-75.159050
City Hall Annex,Philip H. Johnson (Architect),1926,Entrances and walls,39.953075,-75.162260
City Hall Fountain,Vincent Kling/Kling Lindquist Partnership/KlingStubbins (Architects),1977,Plaza,39.952015,-75.164875
City Hall Gates,"John McArthur, Jr.",2015,Gates,39.952485,-75.164420
City Hall Plaque,American Society of Civil Engineers,2006,Wall,39.952335,-75.163170
"City Hall, East Pavilion",Alexander Milne Calder,1873,Part of the whole building's art,39.952300,-75.162800
"City Hall, North Pavilion",Alexander Milne Calder,1873,Part of the whole building's art,39.953000,-75.163400
"City Hall, South Pavilion",Alexander Milne Calder,1873,Part of the whole building's art,39.951825,-75.163650
"City Hall, West Pavilion",Alexander Milne Calder,1873,Part of the whole building's art,39.952495,-75.164450
City of Brotherly Love,Neon of Dallas,2019,Lobby,39.953140,-75.162120
The City of Philadelphia,American Society of Civil Engineers,1997,Mural/Public Art,39.957550,-75.171450
City Root,Keiko Miyamori,2004,Mural/Public Art,39.959195,-75.158170
City Seal,John Molitor (Architect),1925,Wall,39.956055,-75.161750
City Seal,Dexter Jones,1966,Entrance,39.953900,-75.164420
City Seals and Scales of Justice,Vitetta,1994,Walls just below the roof,39.953575,-75.161715
Civil War Sailors Memorial,Hermon Atkins MacNeil,1921,Mural/Public Art,39.959420,-75.172960
Civil War Soldiers and Sailors Monument,John Massey Rhind,1883,Mural/Public Art,40.034325,-75.172300
Civil War Soldiers and Sailors Monument,,1909,Mural/Public Art,39.985925,-75.215975
Civil War Soldiers Memorial,Hermon Atkins MacNeil,1921,Mural/Public Art,39.959650,-75.172650
Clark Park Urban Forest Inventory Frame,,2006,Mural/Public Art,39.949300,-75.209550
The Class of 1956 Trolley,Gomaco Trolley Company,2006,Entrance,39.951125,-75.196900
The Claw,,,Mural/Public Art,39.937510,-75.206685
Clef Club,Les Rosenwinkel (Architect),1995,Wall,39.941925,-75.166300
Clock,,2009,Mural/Public Art,39.955600,-75.180950
Clothespin,Claes Oldenburg,1976,Top of the concourse stairs,39.952400,-75.16570
Clousseau Rousseau,Patricia Ingersoll,2006,Mural/Public Art,,
Cobbs Creek Constellation,Elisabeth Nickles,2011,Whole structure,39.962700,-75.246765
Coinciding Currents,Beth Clevenstine,2016,Wall,40.028805,-75.230250
Collab 1,Bernard Brenner,1975,Mural/Public Art,39.960550,-75.142350
Colonial Scene,Harold Kimmelman,1975,Front wall,39.939325,-75.194375
Columbia Subway Plaza,Richard Fleischner,1986,Plaza,39.978900,-75.157000
Columbus Monument,Emanuele Caroni,1876,Mural/Public Art,39.915550,-75.172100
Columbus Monument,"Venturi, Scott Brown (and Rauch)",1992,Mural/Public Art,39.944650,-75.141500
Column and Capital,,1976,Mural/Public Art,39.951100,-75.191700
Column Court,"Lawrence D. McEwen, Architects",1997,Mural/Public Art,40.074650,-75.203700
Column Park,"McCloskey and Faber, P.C.",2013,Mural/Public Art,40.036925,-75.144300
Comcast Center Fountain,Laurie Olin,2008,Plaza,39.954325,-75.168600
Comcast Center Trellis,Laurie Olin,2008,Trellis,39.954275,-75.168600
Commerce Square Fountain,Laurie Olin,1992,Plaza,39.954200,-75.174100
Commerce Square Pylons,Stantec ViBE,2012,Entrance,39.953825,-75.174150
"Commodore John Barry, USN",Samuel Murray,1908,Mural/Public Art,39.948350,-75.150100
Commodore Uriah Phillips Levy,Gregory Pototsky,2011,Mural/Public Art,39.951325,-75.148400
Community College Lion,Randolph Rose,2024,Plaza,39.962040,-75.166615
Community Garden Gate,Greg Leavitt,1988,Gate,39.949450,-75.181300
Commuter Tunnel Mural,David Beck (Architect),1984,Tunnel walls,39.952500,-75.158150
Compass Rose,,2000,Plaza,39.952635,-75.168700
Concrete Tree,Paul Santoleri,2016,Wall,40.032225,-75.234565
Congregation Rodeph Shalom Entrance,Edward Paul  Simon (Architect),1927,Entrance,39.963825,-75.160900
Connections,Athena Tacha,1992,Mural/Public Art,39.961600,-75.168900
Construction #66,Jose de Rivera,1959,Mural/Public Art,39.952940,-75.195600
Construction for Outdoors #7,Stephen Porter,1987,Mural/Public Art,39.949200,-75.195480
Consultation,"J. Seward Johnson, Jr.",,Mural/Public Art,39.958150,-75.198750
Continental Army Encampment Memorial,,1895,Mural/Public Art,40.018450,-75.183115
Continental Olive,,2005,Wall,39.951750,-75.170450
Contrafuerte,Miguel Horn,2021,Bridge across the alley,39.953440,-75.160185
Convent of Divine Love,Paul Monaghan (Architect),1914,Whole building,39.965285,-75.174400
Convention Center Logo,,1993,Sidewalk,39.951965,-75.159311
Conwell Hall Gargoyles,William Harold Lee (Architect),1924,Both sides of the door,39.980350,-75.157285
Corinthian Column,Martin Architectural,1967,Mural/Public Art,39.958850,-75.175750
Corp. James J. Cochran VFW Post 251 Memorial,,,Mural/Public Art,39.959610,-75.195335
Corporal Michael J. Crescenz MOH,Chad Fisher,2016,Mural/Public Art,39.943735,-75.143100
Le Coureur,Germaine Richier,1954,Mural/Public Art,39.955525,-75.190200
Courtship,Henry Mitchell,1958,Plaza,39.965325,-75.180600
